rainfall,soil_moisture,tilt_x,tilt_y,vibration,temperature,pressure,landslide
44.94,43.63,2.19,1.914,0.299,31.94,1012.25,1
114.09,39.96,0.554,1.378,0.095,24.89,1016.43,0
87.84,25.85,1.04,2.893,0.126,18.91,1003.9,1
71.84,64.65,1.99,0.657,0.181,29.73,998.68,1
18.72,52.9,1.446,1.764,0.204,23.37,999.57,0
18.72,87.91,2.216,2.101,0.242,26.89,1010.91,0
6.97,12.89,2.884,2.477,0.255,17.15,1007.03,0
103.94,67.95,0.35,1.221,0.456,27.63,1004.59,1
72.13,78.67,2.129,2.061,0.51,22.47,996.08,1
84.97,78.35,0.691,0.91,0.309,21.68,1016.26,0
2.47,89.75,1.243,1.306,0.907,34.6,1013.43,0
116.39,75.61,0.099,2.687,0.553,23.65,994.22,1
99.89,93.5,0.408,2.85,0.787,28.56,1001.02,1
25.48,39.94,0.959,2.156,0.924,27.55,1006.26,1
21.82,55.29,1.026,1.123,0.163,17.09,1003.63,0
22.01,11.27,2.699,2.46,0.428,29.96,1001.93,0
36.51,10.63,2.225,0.078,0.433,21.46,1011.56,0
62.97,31.61,2.917,0.308,0.354,30.98,991.64,0
51.83,19.07,1.797,1.984,0.009,27.15,1004.14,0
34.95,33.42,0.725,0.874,0.816,21.34,997.87,0
73.42,25.93,0.983,2.854,0.112,22.13,992.54,1
16.74,12.57,0.96,1.308,0.995,29.63,1003.95,0
35.06,91.84,0.979,1.288,0.773,26.0,995.14,1
43.96,10.74,2.019,2.034,0.58,28.37,997.75,1
54.73,76.25,1.592,2.303,0.155,18.17,1005.21,1
94.22,23.69,1.156,1.427,0.515,30.74,1019.21,1
23.96,92.1,0.447,0.642,0.261,21.41,1010.53,0
61.71,90.35,0.066,2.32,0.252,27.4,998.39,1
71.09,68.85,0.657,0.961,0.83,17.29,1001.47,1
5.57,70.5,0.322,0.525,0.381,21.43,1002.18,0
72.91,10.48,2.356,1.895,0.451,27.98,994.61,0
20.46,98.64,0.337,0.271,0.843,20.48,994.82,1
7.81,89.0,2.173,2.914,0.088,32.61,994.45,0
113.87,90.56,1.157,1.897,0.595,28.22,1005.65,1
115.88,69.33,0.22,2.958,0.578,32.41,1010.23,0
97.01,41.03,2.438,1.017,0.425,22.91,1007.72,1
36.55,90.43,1.739,2.914,0.83,15.68,1019.33,0
11.72,36.24,0.707,0.437,0.943,26.52,993.78,0
82.11,60.64,2.684,0.122,0.465,21.78,1019.59,0
52.82,18.98,0.136,0.099,0.456,23.96,1004.0,0
14.64,92.98,0.605,1.395,0.502,28.62,996.56,1
59.42,22.67,2.256,0.249,0.723,29.01,1018.3,0
4.13,30.24,2.128,1.537,0.668,15.55,1004.06,1
109.12,60.23,0.868,0.983,0.223,30.39,1000.42,1
31.05,78.77,0.186,1.007,0.064,24.87,996.41,0
79.5,65.74,2.574,1.907,0.949,26.13,998.04,1
37.41,30.89,0.941,0.489,0.261,20.96,1019.38,0
62.41,10.08,0.587,2.3,0.639,23.42,999.12,0
65.61,78.14,1.548,1.746,0.828,29.21,1019.33,1
22.18,98.67,2.731,2.745,0.3,30.53,999.91,1
116.35,82.89,0.131,1.095,0.635,22.74,996.94,1
93.02,51.42,2.297,2.948,0.108,28.82,995.5,1
112.74,91.34,1.717,1.727,0.97,20.16,1002.36,1
107.38,46.89,1.276,2.92,0.058,31.64,997.1,1
71.75,57.24,2.232,0.081,0.438,27.2,1010.91,0
110.62,52.94,2.897,2.184,0.537,30.5,997.19,1
10.62,50.29,0.688,2.45,0.79,24.54,1015.06,0
23.52,79.77,0.431,0.16,0.121,19.58,1015.02,0
5.43,57.41,2.739,1.737,0.441,23.58,998.57,0
39.04,38.5,2.007,2.406,0.3,22.63,1012.61,0
46.64,33.23,1.314,1.683,0.312,21.65,1015.73,1
32.56,13.4,1.72,0.191,0.779,19.24,1007.7,0
99.45,62.49,2.237,2.08,0.005,30.18,1000.99,1
42.81,30.7,2.319,0.182,0.749,16.73,1003.23,0
33.71,23.33,2.76,2.452,0.81,32.75,1013.59,1
65.12,68.84,1.281,0.129,0.901,18.5,998.8,0
16.91,71.31,0.88,0.412,0.627,34.6,1000.03,0
96.26,77.69,1.919,0.825,0.333,34.77,994.82,0
8.95,55.32,1.247,1.9,0.427,22.97,1001.97,1
118.43,90.46,1.784,2.929,0.97,34.76,992.6,1
92.67,94.27,1.26,0.353,0.881,32.38,999.63,1
23.85,82.66,0.459,0.428,0.464,16.65,1001.2,0
0.66,67.2,1.408,1.107,0.943,33.95,997.66,0
